,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
77,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:10:02,"RT @sobran_dass: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",78
78,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:10:01,"RT @Raman_Ghavami: BBCFarsi correspondent deliberately mistranslates what Trump says in this video.
Trump:”Who is their(Gulf countries)bigg…",79
79,0.6369,0.0,0.0,0.215,@BBC,2018-07-02 01:08:55,"RT @buzhna: Good for once to hear the truth about NHS privatisation @BBC , from Tony O'Sullivan @keepnhspublic. 47 minutes in: https://t.co…",80
80,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:08:26,"RT @sandya_mehra: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने 28जून कबीर प्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",81
81,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:08:15,"RT @whackfrost: @DVATW And Greg Dyke claimed the BBC was ""too white"". 
Reality is it's anti-white and too homosexual, too trans, much too l…",82
82,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:06:12,"RT @Raman_Ghavami: BBCFarsi correspondent deliberately mistranslates what Trump says in this video.
Trump:”Who is their(Gulf countries)bigg…",83
83,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:06:00,"RT @sobran_dass: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",84
84,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:05:24,"BBCFarsi correspondent deliberately mistranslates what Trump says in this video.
Trump:”Who is their(Gulf countries… https://t.co/KYo3dUQUlM",85
85,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:04:02,"RT @sobran_dass: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",86
86,0.3818,0.0,0.0,0.098,@BBC,2018-07-02 01:03:33,"RT @jaybird2414: Any law in India to protect men who been physically, mentally harrassed by wife and in laws?
What option does men have oth…",87
87,-0.0516,0.248,0.248,0.192,@BBC,2018-07-02 01:03:10,"RT @BBC: Why were these photos of the Great Depression censored using a hole punch?
https://t.co/LijCpCURdC",88
88,-0.4019,0.114,0.114,0.0,@BBC,2018-07-02 01:02:36,"RT @rick135b7: @shafiur @nslwin @Safiter2018 THE TULA TOLI NON -‘MASSACRE’ - 
 WHICH SIDE OF THE RIVER IS WET KYEIN? and other problems
@UN…",89
89,0.5423,0.112,0.112,0.238,@BBC,2018-07-02 01:02:22,RT @GriffithARI: A great video from the @BBC  on the importance of #measuring the #humanimpact of poor #pollution management on #marine #wi…,90
90,-0.34,0.124,0.124,0.0,@BBC,2018-07-02 01:01:54,"RT @Darren_2502: I’m watching #ReportingTrumpsFirstYear &amp;this came up during a meeting,  discussing the release of a story. Worrying abt ca…",91
91,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:01:20,RT @BBC: 🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,92
92,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:01:19,@BBC put some girls on netflix already,93
93,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:00:15,RT @BBC: 🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,94
94,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:00:11,@WSJ @RosenforNevada @USSenate @USCongress @DNC @BBC @CBSNews @SenBobCorker @NBCNews @tedlieu @nytimes @TGowdySC… https://t.co/xGLbebRPIC,95
95,0.3612,0.051,0.051,0.106,@BBC,2018-07-02 00:59:51,RT @DerbyChrisW: The rightwing bias of the BBC's political commentary laid bare. Come on @BBC you can and you should do better than this. h…,96
96,0.0,0.0,0.0,0.0,@BBC,2018-07-02 00:59:09,"RT @sundayschild22: @anofiscal @MalcolmNance @CNN @MSNBC @nbc @FBI @CBSNews @ABC @BBC @NPR TO #TheResistance — Be all over this, tell every…",97
97,0.0,0.0,0.0,0.0,@BBC,2018-07-02 00:59:06,TANTITA pena deberían TENER en el  PAN @AccionNacional . @BBC @CNN @NBC https://t.co/cwVvpt3egA,98
